====================================================================================================
ALL 100 SESSIONS - RANKED BY NEW STEP REWARD SCORE
====================================================================================================

Rank  Session ID                          Old PRM    New Step   Steps    Chunks   Msgs    
----------------------------------------------------------------------------------------------------
 80. ses_4a2a154f3ffe5MyzfQ0G85ClDX... | old=0.899 | new=0.646 | steps= 30 | chunks=14 | msgs= 185
 81. ses_4b100f7b0ffeX21XqXCqktC6fe... | old=0.879 | new=0.645 | steps= 82 | chunks=21 | msgs= 114
 82. ses_4ab9e798dffe3Ey1snakQ3yd6N... | old=0.823 | new=0.644 | steps= 45 | chunks=14 | msgs=  59
 83. ses_4b41b262effeXMQC4oVMl9bP1S... | old=0.920 | new=0.636 | steps= 44 | chunks=19 | msgs=  67
 84. ses_49a836147ffeCDK3A6Zht0RN1Q... | old=0.850 | new=0.634 | steps= 11 | chunks= 9 | msgs=  31
 85. ses_48994e23fffeuIUxXIa5YcObBo... | old=0.842 | new=0.629 | steps=  2 | chunks= 2 | msgs=   6
 86. ses_496b78b04ffeAZaVyUqPaLPe6E... | old=0.895 | new=0.625 | steps=  3 | chunks= 2 | msgs=   5
 87. ses_485a02b40ffeFGbEMTxGTzzmbt... | old=0.719 | new=0.594 | steps= 11 | chunks= 6 | msgs=  40
 88. ses_49c6ece1affec2NKWwqv4qpyXd... | old=0.954 | new=0.591 | steps= 24 | chunks=13 | msgs= 140
 89. ses_480aacf87fferTDieDfjeZOYSY... | old=0.959 | new=0.578 | steps=  1 | chunks= 1 | msgs=   3
 90. ses_496b64117ffdoDDLjSqlwz2n4e... | old=0.904 | new=0.555 | steps=  2 | chunks= 2 | msgs=   5
 91. ses_481e29c83ffeHNcxbubmZmcb6T... | old=0.886 | new=0.550 | steps=  2 | chunks= 1 | msgs=  15
 92. ses_4a3ec6cb1ffeYMBDXwwN57In2i... | old=0.918 | new=0.527 | steps= 28 | chunks=17 | msgs=  43
 93. ses_490298d09ffeIT2tN16gLZEopn... | old=0.817 | new=0.516 | steps=  9 | chunks= 9 | msgs=  48
 94. ses_4a5caecb7ffeJH1wo85VCB3711... | old=0.836 | new=0.500 | steps=  1 | chunks= 1 | msgs=   3
 95. ses_4817bb290ffezzdrBRaNodrh54... | old=0.912 | new=0.500 | steps=  1 | chunks= 1 | msgs=   6
 96. ses_4aaa74cc3ffeQ8qsni4FH6tM39... | old=0.963 | new=0.500 | steps=  4 | chunks= 4 | msgs= 115
 97. ses_48eeef60dffeEa2tor5u74icPm... | old=0.773 | new=0.500 | steps= 20 | chunks=20 | msgs= 181
 98. ses_48ed364b4ffenhuy0uaEN0qLfo... | old=0.769 | new=0.500 | steps=  4 | chunks= 4 | msgs= 135
 99. ses_48658982bffeFun5XpmSlV3Otv... | old=0.970 | new=0.468 | steps= 17 | chunks= 7 | msgs=  21
100. ses_492f4b423ffeKBVjUYEkQjSNfK... | old=0.916 | new=0.457 | steps=  5 | chunks= 5 | msgs=  29

----------------------------------------------------------------------------------------------------
Total: 100 sessions
Mean old: 0.885
Mean new: 0.764
